,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,Trainer,Owner,Current Rating,Start ofSeason Rating,Sire,Dam,Dam's Sire,Same Sire,name,Country of Origin,Age,Colour,Sex,PP Pre-import races footage
566,PPG,$0,$0,0-0-0-0,0,Conghua(06/03/2024),25/01/2024,J Richards,Happy Valley Brothers Syndicate,52,52,Capitalist,We Can Dance,Shinzig,J308 J362 J369 J402 ALWAYS MY FOLKS BELLE HEART BLUE MARLIN CALIFORNIA BLITZ CAPITAL DELIGHT CAPITAL LEGEND CHILLI BABA GENEVA GIANT LEAP HERO WARRIOR LADY BILLIE MA COMET MONTA FRUTTA PLENTIFUL RISE COMPANIONS SAVVY CHIC SEASONS WIT SMILING EMPEROR SOLAR GOGO SOLAR UP SPICY KNUCKLES SPORTIC WARRIOR SUNLIGHT POWER SUPERB CAPITALIST WINNING DATA,2023_J346,AUS,3,Bay,Gelding,
567,PPG,"$783,900","$1,083,100",0-2-3-12,1,Hong Kong(03/11/2022),03/11/2022,C W Chang,Dr & Mrs Silas S S Yang and Michelle H Y Yang,46,51,Daiwa Major,Sweet Lady,Encosta de Lago,Nil,2022_H213,JPN,4,Grey,Gelding,
568,PPG,$0,$0,0-0-0-3,1,Hong Kong(20/03/2023),20/03/2023,K L Man,Lo Chuen Hang,49,52,Shamexpress,Rita Moreno,King's Chapel,J388 J445 GLOBAL HARMONY KA YING RISING LUCKY MAN SWEET BRIAR,2022_H372,NZ,4,Bay,Gelding,
569,PPG,"$1,589,800","$2,841,250",4-2-2-26,1,Conghua(03/04/2024),05/07/2021,W Y So,Yvonne Chow Hau Yee,42,34,Ghibellines,Cherry Creek,Monashee Mountain,Nil,2021_G029,NZ,5,Bay,Gelding,
570,PPG,"$696,150","$696,150",1-0-0-4,0,Hong Kong(30/03/2024),29/06/2023,C S Shum,"Timmy Chan Tien Kay, Jamson Chan Wing Chai & Au Yeung Ying Ho",57,52,War Decree,Word Savvy,Savabeel,ARMOUR WAR EAGLE CARRYON SMILING FIGHTING MACHINE GREENWICH INNOTECH STAR,2023_J016,NZ,3,Bay,Gelding,
571,PP,"$1,179,900","$2,389,225",1-2-2-35,2,Conghua(05/04/2024),20/09/2021,P C Ng,All Happy Together Syndicate,54,68,Pride Of Dubai,Little Miss Smiley,Husson,J433 J443 DRAGON STAR EXCEPTIONAL WONDER GALLANT WAKING GOLDEN SAMURAI LUCKY EIGHT PINGWU SPARKLE TAIHANG SCENERY UNIVERSAL BLAZE,2021_G195,AUS,5,Chestnut,Gelding,
572,PPG,$0,$0,0-0-0-0,0,Hong Kong(22/02/2024),22/02/2024,D J Hall,Wong Choi Ha,,,Too Darn Hot,Refreshing,Stratum,Nil,2023_J391,NZ,2,Bay,Gelding,
573,PP,"$37,200","$37,200",0-0-0-5,0,Conghua(27/03/2024),08/10/2022,A S Cruz,Wong Choi Ha & Leung Wai Chuk,55,65,Brazen Beau,Ambrix,Xaar,CAMPIONE FORTUNE MASTER FUN ELITE GOLDEN LONG HARMONY FIRE WINNING GOLD,2022_H169,GB,4,Brown,Gelding,
574,PPG,"$3,519,600","$3,519,600",3-2-0-5,1,Conghua(29/03/2024),31/07/2023,D A Hayes,Ka Ying Syndicate,84,52,Shamexpress,Missy Moo,Per Incanto,J388 J445 GLOBAL HARMONY JOYFUL SUPREME LUCKY MAN SWEET BRIAR,2023_J062,NZ,3,Bay,Gelding,
575,PPG,"$485,550","$3,126,200",2-3-3-23,1,Hong Kong(23/03/2024),09/11/2021,C Fownes,Billy Chan Wing Kwong,56,60,Hinchinbrook,Morinda,Desert King,CORDYCEPS ONE EXCELLENT FIGHTER M M NEBULA WINNING ICEY,2021_G266,AUS,5,Bay,Gelding,
576,PPG,"$1,115,250","$1,115,250",1-0-2-5,0,Hong Kong(06/04/2024),20/03/2023,P C Ng,Ip Chi Ming,59,52,Reward For Effort,Lady Phoebe,Stravinsky,OVERSUBSCRIBED,2022_H369,AUS,4,Bay,Gelding,
577,PPG,$0,$0,0-0-0-0,0,Hong Kong(22/02/2024),22/02/2024,W K Mo,Mike Cheung Shun Ching,,,Justify,Crystal Flute,Encosta de Lago,J364 J441 CALL ME SUPREME MILES AWAY PRAY FOR MIR UNBELIEVABLE,2023_J386,AUS,2,Chestnut,Gelding,
578,PP,"$5,638,000","$5,638,000",1-0-1-6,1,Hong Kong(14/08/2023),14/08/2023,P C Ng,Happy Ka Ying Syndicate,83,74,Churchill,War Goddess,Champs Elysees,J406 ENCOUNTERED ENCOURAGER ENSHINE FAIRY HORSE GRACIOUS EXPRESS INVINCIBLE DELIGHT MAJESTIC SPEED SMASHING EXPRESS SNAFFLES WAH MAY WAI WAI,2023_J075,IRE,4,Bay,Gelding,
579,PPG,"$1,041,600","$4,635,200",5-0-2-17,0,Conghua(01/03/2024),21/09/2020,C S Shum,Lo Yu Sai & Jasmine Lo Siu Yu,79,72,Rubick,Search The Stars,Tale Of The Cat,J380 DR TWENTY HABITS PACKING HERMOD RUBYLOT SHINKANSEN TELECOM POWER,2020_E217,AUS,6,Chestnut,Gelding,
580,PP,$0,$0,0-0-0-1,1,Hong Kong(24/08/2023),24/08/2023,W K Mo,Leung Kei Pik,64,64,Belardo,Diamond Cut,Guillotine,HANDSOME BOMB KEEN UNITY PHANTOM CYCLONE RED LION SEA AIR LEGEND SHANGHAI STYLE YEABOI,2023_J091,NZ,4,Bay,Gelding,
581,PPG,"$213,900","$1,217,100",2-0-1-5,1,Hong Kong(19/10/2023),19/12/2022,D J Hall,Ka Ying Syndicate,63,65,Charm Spirit,Rockadubai,Fastnet Rock,AWESOME TREASURE CAMINO CHARMING STEED CHEVAL VALIANT DOUBLE BINGO FUN N FUN TOGETHER GLORY CLOUD GO GO GO HAPPY HUNK HONG KONG HALL LADY'S CHOICE LO PAN SPIRIT MASTER OF ALL MILLENNIUM FALCON SILVER SPURS SOARING TOWER TACTICAL COMMAND TRIPLE BLISS,2022_H287,NZ,3,Bay,Gelding,
582,PPG,$0,$0,0-0-0-0,0,Conghua(06/03/2024),08/01/2024,K W Lui,Brian Leung Hung Tak & Sophie Leung Lau Yau Fun,,,Alabama Express,Tiffany's,High Chaparral,Nil,2023_J306,AUS,2,Bay,Gelding,
583,PPG,"$1,827,300","$2,567,100",2-2-1-10,1,Hong Kong(08/02/2024),22/03/2022,C Fownes,Manu N Melwani & Roshan Manohar Melwani,69,59,Turn Me Loose,Lovingthelimelight,Lemon Drop Kid,DASH AVENUE FANCY STAR FRUITY WARRIOR HAPPY HOLIDAY PERFECT MARSHAL SILVER KING SMILING COLLECTOR WINNING TURN WOODFIRE CHAMP,2021_G392,AUS,5,Chestnut,Gelding,
584,PPG,"$2,145,870","$2,700,270",2-3-2-11,2,Hong Kong(28/03/2024),05/11/2022,C Fownes,Ho Garrick Sai Man & Tam Wing Yee,68,57,Havana Grey,Starboard Watch,Harbour Watch,GREAT STATE LEAN MASTER REWARD SMILE,2022_H216,GB,4,Grey,Gelding,
585,PPG,"$491,400","$491,400",0-2-0-3,0,Hong Kong(22/02/2023),29/06/2022,C H Yip,Leung Shek Kong,54,51,Written Tycoon,Dawaa,Lonhro,J404 J412 J413 CHARITY FOR ALL EASON FANTASTIC TREASURE FLYING LUCK GOLDEN RISE GRATEFUL HEART MERCHANT PRINCE NEVER TOO SOON ORIENTAL TYCOON PATCH OF TIME RIVER VIEWS RUN RUN COOL SING DRAGON TOMODACHI KOKOROE WIND SPEEDER,2022_H028,AUS,5,Brown,Gelding,
586,PP,"$245,700","$577,500",0-2-0-13,1,Hong Kong(18/12/2021),18/12/2021,K H Ting,"Mr & Mrs Victor Lui Ting, Ian Lui and Kenneth Leung Kin Hang",42,46,Belardo,Prudent Approach,New Approach,HANDSOME BOMB KA YING SUPERB PHANTOM CYCLONE RED LION SEA AIR LEGEND SHANGHAI STYLE YEABOI,2021_G298,IRE,5,Bay,Gelding,
587,PP,"$450,450","$829,950",0-2-0-18,1,Hong Kong(28/03/2024),20/12/2021,A S Cruz,Gin Syndicate,51,60,Savabeel,Lady Chaparral,High Chaparral,J418 COURIER MAGIC DUBLIN STAR GOOD GOOD GREAT ACHIEVER M UNICORN NOBLE PURSUIT ON THE LASH ROMANTIC CHARM SUPER UNICORN,2021_G312,NZ,6,Brown,Gelding,
588,PP,"$119,200","$7,645,600",2-3-1-19,1,Hong Kong(04/04/2024),20/12/2021,F C Lor,Chong Min Onn,85,97,All Too Hard,Urban Rocker,Fastnet Rock,J342 ALL BEAUTY BEAU CADEAU BOWSER BRAVE JOY BUNDLE OF CHARM CONTI CONTI GREAT LOOKING JOLLY COMPANION MUST GO PATCH OF STARS VICTORYTHIRTYTHREE,2021_G306,AUS,5,Bay,Gelding,
589,PP,"$705,300","$1,437,750",0-1-3-27,2,Hong Kong(03/10/2020),03/10/2020,W K Mo,Edmond Siu Kim Ping,45,60,Silvano,Kiss And Fly,Jet Master,Nil,2020_E236,SAF,7,Bay,Gelding,
590,PP,"$1,207,150","$1,207,150",1-0-1-14,2,Hong Kong(04/04/2024),27/01/2023,J Richards,Healthy & Happy Racing Syndicate,61,72,Hat Trick,Notting Tomorrow,Aragorn,Nil,2022_H329,BRZ,4,Bay,Gelding,
591,PP,$0,$0,0-0-0-1,1,Hong Kong(09/03/2024),19/12/2023,D J Whyte,Mr & Mrs Patrick Fung Pak Tung and Ophelia Fung Wing Sei,66,66,Satono Aladdin,Fairfield Flame,Oasis Dream,COURIER ALADDIN FLASH POINT MR ALADDIN SPEEDY SMARTIE THE ABSOLUTE,2023_J247,NZ,4,Bay,Gelding,
592,PPG,"$1,485,900","$3,251,700",3-3-4-23,2,Hong Kong(22/02/2024),09/11/2021,D J Whyte,Mr & Mrs Patrick Fung Pak Tung and Ophelia Fung Wing Sei,61,55,Exceed And Excel,Caiguna,Dubai Destination,J403 J415 ARIEL CIRCUIT ELEVEN CRYSTAL POWERFUL DEAL COMPLETED EXCEL WONGCHOY GUSTOSISIMO HANG'S CHOICE KING MILES MAGIC TRAVELLER ROMANTIC NOVELIST SAVVY DELIGHT SHINE BRIGHT SUPER AXIOM,2021_G264,AUS,5,Bay,Gelding,
593,PPG,"$239,850","$531,450",0-0-1-13,1,Hong Kong(09/04/2024),11/10/2022,F C Lor,Thomas Leung Wai Kin,40,52,Darci Brahma,Thewayweroll,Thewayyouare,H349 AMAZING TEENS BOURBONAIRE COSMO NAVIGATOR D STAR DARCI JOY FORTUNE RACER FOXHUNTER KING FURTHER FORWARD GOLDEN DARCI JOYFUL HUNTER SPEED DRAGON TO INFINITY,2022_H199,NZ,4,Brown,Gelding,
594,PPG,"$70,200","$70,200",0-0-0-5,1,Hong Kong(08/05/2023),08/05/2023,K H Ting,Racing Guru Syndicate,45,52,Divine Prophet,The Fairy's Kiss,Elusive Quality,SKY PROPHET URBAN TRIUMPH WAKA WAKA,2022_H407,AUS,4,Chestnut,Gelding,
595,PPG,"$140,400","$140,400",0-0-0-2,2,Hong Kong(25/01/2024),21/09/2023,K W Lui,Bernie Yim Mei Fung & Yim Man Hay,52,52,Exceed And Excel,Epitomise,More Than Ready,J403 J415 ARIEL CIRCUIT ELEVEN CRYSTAL POWERFUL DEAL COMPLETED EXCEL WONGCHOY GUSTOSISIMO HANG'S CHOICE KING ECCELLENTE MAGIC TRAVELLER ROMANTIC NOVELIST SAVVY DELIGHT SHINE BRIGHT SUPER AXIOM,2023_J158,AUS,3,Bay,Gelding,
596,ISG,$0,$0,0-0-0-4,2,Hong Kong(06/04/2024),01/07/2023,A S Cruz,Leung Shek On,44,52,Oasis Dream,Brom Felinity,Encosta de Lago,TRUE GENIUS,2022_H486,GB,4,Brown,Gelding,
597,PP,$0,$0,0-0-0-0,0,Hong Kong(24/02/2024),24/02/2024,P C Ng,World of Keiba Syndicate,66,66,Invincible Spirit,Purple Sage,Danehill Dancer,J424 CIRCUIT BLAZING PRINCIPLED SUMMIT IMPACT UP AND UP,2023_J395,IRE,3,Bay,Colt,
598,PPG,"$725,400","$2,178,900",3-1-1-25,1,Hong Kong(21/09/2022),24/08/2020,K L Man,Kowloon East Syndicate,45,45,Zoustar,Cardinal Court,Valixir,J405 J417 J422 J458 AMAZING RUN CALIFORNIATOTALITY CELESTIAL COLOURS CHIU CHOW BROTHER CHIU CHOW SPIRIT HAPPY HORSE HEALTHY HAPPY LOVING VIBES MY FLYING ANGEL NOT USUAL STAR PATCH OF THETA RAGING RAPIDS SOLAR PARTNER STELLAR EXPRESS SUMMIT CHEERS SUPER FORTUNE SWEET DIAMOND YOUNG CHAMPION,2020_E158,AUS,6,Chestnut,Gelding,
599,PPG,"$538,200","$3,349,600",3-4-4-27,0,Conghua(07/02/2024),05/07/2021,C Fownes,Jimmy Wong Kwok Kin & Michael Wong Tak Choy,59,59,Bullbars,Shalaka,Lonhro,Nil,2021_G006,NZ,6,Brown,Gelding,
600,PP,"$2,130,200","$11,551,050",6-3-5-32,0,Conghua(08/04/2024),31/08/2019,C Fownes,Brian Leung Hung Tak & Sophie Leung Lau Yau Fun,95,98,Mayson,One River,Stormy River,Nil,2019_D172,FR,7,Chestnut,Gelding,
601,PP,$0,$0,0-0-0-5,2,Hong Kong(31/07/2023),31/07/2023,M Newnham,Cheng Yung Pun,59,67,Siyouni,Karisma,Lawman,G LINER,2023_J055,GB,4,Bay,Gelding,
602,PP,"$251,100","$251,100",0-0-0-6,1,Hong Kong(06/04/2024),08/05/2023,D J Hall,Wong Ying Sheung,60,67,Safeguard,Dabang,He's A Decoy,Nil,2022_H396,AUS,4,Chestnut,Gelding,
603,PP,"$823,400","$2,189,500",2-1-3-41,1,Hong Kong(06/04/2024),27/10/2019,D J Hall,Emily Wong Man Yan & Wong Ying Sheung,45,39,Havana Gold,Zindana,Dalakhani,BEAUTY CHARGE MASTEROFMYUNIVERSE,2019_D267,IRE,8,Grey,Gelding,
604,PPG,$0,$0,0-0-0-0,0,Conghua(19/02/2024),21/12/2023,D J Hall,Chiang Ping Fai,52,52,U S Navy Flag,Savabeel Star,Savabeel,J396 J446 CURRAHEE GET SET WIN GREAT DAYS MATSU VICTOR RACINGRACE SUPER CHARIZZARD U S S CONSTITUTION,2023_J288,NZ,3,Brown,Gelding,
605,PP,"$1,992,700","$4,294,200",1-1-2-17,1,Hong Kong(17/10/2023),18/03/2022,A S Cruz,Chef's Table Syndicate,92,83,Cityscape,Etoile Blanc,Nedawi,BRAVEHEARTS,2021_G371,ARG,5,Bay,Gelding,
606,PPG,"$1,557,000","$3,225,600",2-4-3-18,1,Hong Kong(09/08/2023),13/09/2022,C W Chang,HK Association of Lady Horse Lovers Syndicate,66,60,Charm Spirit,No Pushover,Pins,AWESOME TREASURE CAMINO CHARMING STEED CHEVAL VALIANT DOUBLE BINGO FUN N FUN TOGETHER GLORY CLOUD GO GO GO HAPPY HUNK HONG KONG HALL KA YING VICTORY LO PAN SPIRIT MASTER OF ALL MILLENNIUM FALCON SILVER SPURS SOARING TOWER TACTICAL COMMAND TRIPLE BLISS,2022_H155,NZ,4,Bay,Gelding,
607,PP,"$398,250","$398,250",0-1-0-4,1,Hong Kong(24/08/2022),26/03/2022,K L Man,Michael Lee Chak Hol,60,61,New Approach,Sharnberry,Shamardal,Nil,2021_G406,GB,5,Bay,Gelding,
608,PPG,$0,$0,0-0-0-0,0,Hong Kong(29/02/2024),21/12/2023,J Richards,S I Huma,,,Toronado,Minetti,Star Witness,J411 J437 BABY SATELLITE BEAUTY GLORY BEAUTY INFINITY BLESSED NATION CAPTAIN WIN DIAMOND WINNER GOLDEN CHAMPION HAPPY FEELING HELIOS EXPRESS I AM THE BOSS IVICTORIAM MAGNIFICENT NINE MASTER TORNADO OWNERS' PRAISE PACKING POWER RED ELEGANCE SENOR TOBA SIGHT VICTORY STORMTROUPER SWEET ENCOUNTER TORONADO PHANTOM VERBIER VICTOR THE WINNER,2023_J285,AUS,2,Bay,Gelding,
609,PPG,$0,$0,0-0-0-4,1,Hong Kong(20/03/2023),20/03/2023,W K Mo,Dr Jimmy Wong Chi Ho,40,48,Capitalist,Go Astray,Gone Astray,J308 J362 J369 J402 ALWAYS MY FOLKS BELLE HEART BLUE MARLIN CALIFORNIA BLITZ CAPITAL DELIGHT CAPITAL LEGEND CHILLI BABA GENEVA GIANT LEAP HERO WARRIOR JUBILANT WINNER MA COMET MONTA FRUTTA PLENTIFUL RISE COMPANIONS SAVVY CHIC SEASONS WIT SMILING EMPEROR SOLAR GOGO SOLAR UP SPICY KNUCKLES SPORTIC WARRIOR SUNLIGHT POWER SUPERB CAPITALIST WINNING DATA,2022_H365,AUS,3,Bay,Filly,
610,PP,"$1,076,400","$1,076,400",1-0-2-14,1,Hong Kong(10/09/2022),10/09/2022,C H Yip,Cheng Wan Wai & Cheng Tsz Yan,48,50,Havana Grey,Fair Maiden,Carnegie,GREAT STATE KAHOLO ANGEL REWARD SMILE,2022_H134,GB,4,Bay,Gelding,
611,PPG,"$2,582,150","$4,116,300",4-1-2-19,0,Conghua(22/03/2024),23/03/2022,D A Hayes,Friends of The Saint Syndicate,69,59,Maurice,Frontalis,Redoute's Choice,HIGH PERCENTAGE NORTHERN BEAST PING HAI COMET,2021_G402,AUS,4,Bay,Colt,
612,PPG,$0,$0,0-0-0-4,1,Hong Kong(11/01/2024),20/03/2023,W K Mo,Elaine Chan Yin Ling,45,51,Smart Missile,Lady Mary,Dane Shadow,J366 BEAUTY MISSILE COMMANDING MISSILE CRAZY TREASURE GENERAL WINNER GRAND CONQUEROR GREEN N WHITE HIGH RISE POWER INVINCIBLE MISSILE MIDORI BURLY MISSION BRAVO SPEED SWORD TSUEN WAN GLORY YOUNG VICTORY,2022_H374,AUS,4,Brown,Gelding,
613,PPG,"$48,125","$48,125",0-0-0-9,2,Hong Kong(02/03/2024),05/07/2022,T P Yung,Michael Yeung Wah Keung,30,38,Iffraaj,Bellazeel,Zabeel,J451 AMAZING TRAVIS BROTHER CHENG I CAN LUCKY GOLD NICHOLSON RETURNS SUNNY BABY SUPER TAICHI,2022_H034,NZ,4,Chestnut,Gelding,
614,PP,$0,$0,0-0-0-3,1,Hong Kong(21/09/2023),21/09/2023,M Newnham,Mary Sun,62,66,Time Test,Bella Carolina,O'Reilly,J384 J390 BEAU GOSSE FLAMING RABBIT FUNG HO HO STAR ISLAND GOLDEN MIGHTY STRENGTH OFFROAD MASTER OMAKASE SWEET SMILE TIMES TABLE TOP GUN,2023_J154,NZ,4,Brown,Gelding,
615,PPG,"$134,550","$134,550",0-0-0-4,1,Conghua(01/04/2024),08/05/2023,F C Lor,Xavier Zee Ho Sum,51,52,Denman,Harada Tat Tat,Haradasun,J440,2022_H406,AUS,4,Bay,Gelding,
616,PPG,$0,$0,0-0-0-0,0,Hong Kong(20/02/2024),20/02/2024,T P Yung,Wong Kok Wai,52,52,Deep Field,Excess Love,Exceed And Excel,J423 J427 ADEFILL ALMIGHTY KICK BLAZING WIND BOOMBAYAH CALIFORNIA DEEPLY CALIFORNIA ICON CALIFORNIA TOUCH CHEER FOR SOUTH CIRCUIT MAXIMUS CIRCUIT SEVEN DAN ATTACK DEEP PURSUIT DENFIELD DIAMOND FLARE DIAMOND SOARS DRACO DRALA DURHAM STAR EVERYONE'S VICTORY FALCON COURT FASHION LEGEND GALLANT GOODY GORGEOUS VITALITY HAYDAY HINOKAMI KAGURA HOWDEEPISYOURLOVE HYPER DRAGON BALL JOY OF SPRING LUCKY ARCHANGEL MASTER MASTERMIND MORE RICE MUGEN NOBLE ONE NOBLE WIN PACKING BOLE PACKING BRILLIANT PARENTS' LOVE ROBOT KNIGHT RUN RUN TIMING SELF IMPROVEMENT SPLENDID STAR SPONGE BABE SPORTS LEGEND SUGAR BALL SUPER ELITE SUPER GLORY SUPER HIGHWAY SUPREME LUCKY TEAM HAPPY THE GOLDEN SCENERY THE GOOD DEAL VIGOR ELLEEGANT VIVA GRACIOUSNESS VOYAGE BUBBLE WINNING MONEY YEE CHEONG RAIDER YOO YOO KNIGHT YOUTHFUL DEAL,2023_J374,AUS,3,Bay,Gelding,
617,PP,$0,$0,0-0-0-0,0,Conghua(22/11/2022),07/05/2022,T P Yung,Jenny Tam Yuk Ching,76,76,Charming Thought,Kasumi,Inchinor,Nil,2021_G428,GB,5,Chestnut,Gelding,
618,PPG,"$1,757,400","$3,377,375",3-3-2-24,1,Hong Kong(28/07/2023),21/06/2021,C W Chang,Apple of My Eyes Syndicate,67,59,Shooting To Win,We Can Dance,Shinzig,CHARMANDER DARING PURSUIT DRAGON FOUR SEAS FIREFOOT HAPPY SOUL LIFELINE EXPRESS MEGA BONUS MIDORI GLORY TOP SCORER,2020_E471,AUS,5,Chestnut,Gelding,
619,PP,"$753,300","$2,838,750",1-3-5-30,1,Hong Kong(28/03/2024),24/08/2020,D J Hall,"Thomas Poon Ho Wing, Poon Chi Keung & Li Kui Ching",61,63,Dane Shadow,Dorothy Dinosaur,Canny Lad,Nil,2020_E132,AUS,7,Bay,Gelding,
620,PPG,"$1,556,100","$1,556,100",1-2-2-7,3,Hong Kong(05/06/2023),05/06/2023,J Size,Dr Eddy & Nellie Fong,59,52,Shooting To Win,La Comedienne,Commands,CHARMANDER DARING PURSUIT DRAGON FOUR SEAS FIREFOOT HAPPY SOUL LESLIE MEGA BONUS MIDORI GLORY TOP SCORER,2022_H439,AUS,3,Bay,Gelding,
621,PP,"$2,650,500","$6,154,675",4-2-3-34,3,Conghua(05/04/2024),28/08/2021,C S Shum,Daryl Ng Win Kong,65,66,Acclamation,Pearl Sea,Elusive City,BEAUTY CRESCENT RICH HORSE ROMANTIC WARRIOR THE KHAN,2021_G130,IRE,6,Bay,Gelding,
622,PPG,"$23,400","$23,400",0-0-0-2,1,Hong Kong(08/02/2024),09/10/2023,D J Whyte,Mixion Lam Ting Kwok,50,52,Exosphere,Bathing Beauty,Exceed And Excel,J407 DREAM WINNER NEARLY FINE SILVER SONIC,2023_J177,AUS,3,Bay,Gelding,
623,PP,"$441,650","$3,162,450",3-3-3-37,3,Hong Kong(30/03/2024),04/05/2020,W Y So,Kent Leung Kin Keung,40,51,Alamosa,Fantastic Honour,Any Suggestion,Nil,2019_D419,NZ,7,Grey,Gelding,
624,PPG,"$683,050","$720,850",1-0-0-11,2,Conghua(05/04/2024),11/10/2022,P F Yiu,Ko Piu Syndicate,45,49,Scissor Kick,Coffee Hit,Medaglia d'Oro,ALLGREEKTOME INVINCIBLE LUCKY,2022_H206,AUS,4,Bay,Gelding,
625,PP,"$64,350","$2,298,550",2-1-0-27,1,Hong Kong(24/02/2024),30/08/2021,F C Lor,Chiu Chow Hon Kong Syndicate,45,56,Redwood,Luz,King Cugat,SHARPEN BRIGHT,2021_G151,NZ,6,Brown,Gelding,
626,PPG,$0,$0,0-0-0-0,0,Hong Kong(23/12/2023),23/12/2023,W Y So,Wong Kwong Fai,,,Australia,Gwerrann,Dansili,J425 SWAN BAY,2023_J297,GB,3,Bay,Gelding,
627,PPG,$0,$0,0-0-0-0,0,Hong Kong(25/01/2024),25/01/2024,K W Lui,Chow Ka Yee,52,52,Zoustar,Volcada,Stravinsky,J405 J417 J422 J458 AMAZING RUN CALIFORNIATOTALITY CELESTIAL COLOURS CHIU CHOW BROTHER CHIU CHOW SPIRIT HAPPY HORSE HEALTHY HAPPY KOWLOON EAST STAR MY FLYING ANGEL NOT USUAL STAR PATCH OF THETA RAGING RAPIDS SOLAR PARTNER STELLAR EXPRESS SUMMIT CHEERS SUPER FORTUNE SWEET DIAMOND YOUNG CHAMPION,2023_J359,AUS,3,Chestnut,Gelding,
628,PPG,$0,$0,0-0-0-0,0,Hong Kong(09/11/2023),09/11/2023,K H Ting,Opulence Syndicate,52,52,Charm Spirit,Potions,Encosta de Lago,AWESOME TREASURE CAMINO CHARMING STEED CHEVAL VALIANT DOUBLE BINGO FUN N FUN TOGETHER GLORY CLOUD GO GO GO HAPPY HUNK HONG KONG HALL KA YING VICTORY LADY'S CHOICE MASTER OF ALL MILLENNIUM FALCON SILVER SPURS SOARING TOWER TACTICAL COMMAND TRIPLE BLISS,2023_J233,NZ,3,Bay,Gelding,
629,PP,"$1,761,900","$1,761,900",1-3-0-7,1,Hong Kong(06/04/2024),09/06/2023,A S Cruz,Happy Bear Syndicate,69,64,Lord Kanaloa,Sacred Sight,Fastnet Rock,SWIFT ASCEND,2022_H451,JPN,5,Bay,Gelding,
630,PPG,"$1,114,800","$1,989,600",2-1-1-15,1,Hong Kong(29/06/2022),29/06/2022,C W Chang,Peter Lee Kwok Wah,60,55,Swiss Ace,Loch Leven,General Nediym,ACE TALENT AMAZING GALAXY DRAGON AIR FORCE EURO ROCKS FAST SERVE FLYING ACE FORTUNE WARRIOR GIMME FIVE HAROLD WIN JOYFUL LIFE LOYAL BO BO MARIO MASSIVE TALENT MR ENERGIA NEW POWER THUNDERBOLTAURUS B TOP PEAK,2021_G461,NZ,4,Bay,Gelding,
631,PP,"$109,200","$8,547,750",5-3-1-40,2,Hong Kong(02/04/2024),27/07/2020,F C Lor,Chiu Chow Hon Kong Syndicate,67,84,Holy Roman Emperor,Montwest,Montjeu,AMAZING BOY CERVIN COLOURFUL EMPEROR DRAGON KINGDOM HOLY LAKE LOYAL AMBITION MAXIMIZE HEART MY INTELLIGENT SPARKLING KNIGHT STAR OF GLORY TRAVEL GOLF YOU'REMYEVERYTHING,2020_E053,NZ,7,Bay,Gelding,
632,ISG,"$590,625","$2,336,275",1-6-6-38,1,Hong Kong(27/01/2024),28/06/2021,C Fownes,Wong Ka Ming,27,37,Holy Roman Emperor,Heart Of Ice,Montjeu,AMAZING BOY CERVIN COLOURFUL EMPEROR DRAGON KINGDOM HOLY LAKE LOOKING GREAT MAXIMIZE HEART MY INTELLIGENT SPARKLING KNIGHT STAR OF GLORY TRAVEL GOLF YOU'REMYEVERYTHING,2020_E489,GER,6,Brown,Gelding,
633,PPG,"$1,696,500","$1,696,500",2-1-0-6,1,Hong Kong(26/06/2023),26/06/2023,F C Lor,Choi Yu So Fong,65,52,Swiss Ace,Sacred Vow,More Than Ready,ACE TALENT AMAZING GALAXY DRAGON AIR FORCE EURO ROCKS FAST SERVE FLYING ACE FORTUNE WARRIOR GIMME FIVE HAROLD WIN JOYFUL LIFE LOST CHILD MARIO MASSIVE TALENT MR ENERGIA NEW POWER THUNDERBOLTAURUS B TOP PEAK,2023_J011,NZ,4,Brown,Gelding,
