,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,Trainer,Owner,Current Rating,Start ofSeason Rating,Sire,Dam,Dam's Sire,Same Sire,name,Country of Origin,Age,Colour,Sex,PP Pre-import races footage
380,PPG,"$284,100","$1,752,900",2-1-0-12,1,Conghua(29/03/2024),29/06/2022,K W Lui,Stanley Chan Ka Leung,56,64,Pride Of Dubai,Nazca,Medaglia d'Oro,J433 J443 DRAGON STAR EXCEPTIONAL WONDER GALLANT WAKING JUMBO FORTUNE LUCKY EIGHT PINGWU SPARKLE TAIHANG SCENERY UNIVERSAL BLAZE,2022_H024,AUS,5,Bay,Gelding,
381,PPG,$0,$0,0-0-0-1,0,Conghua(29/03/2024),29/06/2023,M Newnham,John Yuen Se Kit,52,52,Astern,Emblazoned,Darci Brahma,PANDA LEGEND SECOND TO NONE,2023_J012,NZ,3,Bay,Gelding,
382,PPG,"$1,069,500","$5,210,400",4-5-2-29,1,Conghua(08/04/2024),31/07/2020,D J Hall,"Richard Lok Kee Loong, Will Yiu Mau Lung & Jimmy Law Hoi Yat",66,71,Showcasing,Saheel,Zabeel,DOUBLE SHOW EQUATORIAL PATCH OF KINGDOM SHOW RESPECT VIVA A LA,2020_E097,NZ,6,Bay,Gelding,
383,PPG,"$17,920,000","$165,850,600",26-2-1-30,0,Hong Kong(26/10/2018),26/10/2018,K W Lui,Stanley Chan Ka Leung,133,131,Medaglia d'Oro,Gaudeamus,Distorted Humor,HERCULES LUCKY QUALITY PODIUM ROYAL PRIDE,2018_C238,AUS,8,Brown,Gelding,
384,PPG,"$1,105,650","$1,105,650",1-0-2-8,2,Conghua(03/04/2024),07/11/2022,J Size,James Kwan Wai Ming & Leung Kam Chuen,56,52,Written Tycoon,Smooth Landing,Snitzel,J404 J412 J413 CHARITY FOR ALL EASON FANTASTIC TREASURE FLYING LUCK GRATEFUL HEART KA YING WARRIOR MERCHANT PRINCE NEVER TOO SOON ORIENTAL TYCOON PATCH OF TIME RIVER VIEWS RUN RUN COOL SING DRAGON TOMODACHI KOKOROE WIND SPEEDER,2022_H242,AUS,4,Brown,Gelding,
385,PP,$0,$0,0-0-0-3,2,Hong Kong(18/09/2023),18/09/2023,M Newnham,Siu Wai Chung,59,63,Ilovethiscity,Cyndiana Star,Johannesburg,BEAUTY FIT GALVANIC SERANGOON,2023_J135,AUS,4,Bay,Gelding,
386,PPG,$0,$0,0-0-0-0,0,Hong Kong(08/01/2024),08/01/2024,J Size,Wilson Lau Wing Sun,52,52,Vancouver,Longing,Lonhro,ACE VICTORY ALP'S AFFECTION ALWAYS FLUKE MISSION VOICE MULTISUPER,2023_J323,AUS,3,Bay,Gelding,
387,PPG,"$100,625","$224,825",0-0-2-11,2,Hong Kong(28/03/2024),13/09/2022,C H Yip,Good View Syndicate,33,42,American Pharoah,Summer's Day,Darci Brahma,E GLORY GREAT SPIRIT SWORD POINT,2022_H154,AUS,4,Chestnut,Gelding,
388,PPG,$0,$0,0-0-0-0,0,Conghua(27/03/2024),25/01/2024,C S Shum,Mr & Mrs Patrick Lau Tak Wai,52,52,Per Incanto,Lithograph,Echo Of Light,J409 J421 A AMERIC TE SPECSO AEROINVINCIBLE BABY CRYSTAL BRAVO WARRIOR CAMP FIRE CAN'T GO WONG CIRCUIT VICTORY COLOURFUL PRINCE DUKE WAI FLYING DRAGON GOLDEN LINK GOLDEN LUCK HAPPY DAY HEALTHY HEALTHY I GIVE LITTLE BROSE LUCKY FIONN RAGING BLIZZARD RATTAN KINGDOM RATTAN WORLD ROARING BEBE SEIZING THE MOMENT SIXTH GENERATION THE PRIME UNISON WOOD ON FIRE,2023_J353,NZ,3,Bay,Gelding,
389,PPG,$0,$0,0-0-0-2,0,Hong Kong(22/02/2024),26/06/2023,D J Hall,Jessica Lee Man Yi & Gregory Ho Chi Ho,50,52,Smart Missile,Caves,Bernardini,J366 BEAUTY MISSILE COMMANDING MISSILE CRAZY TREASURE GENERAL WINNER GREEN N WHITE HIGH RISE POWER INVINCIBLE MISSILE LAPRAS MIDORI BURLY MISSION BRAVO SPEED SWORD TSUEN WAN GLORY YOUNG VICTORY,2022_H469,AUS,3,Bay,Gelding,
